iteration,model number,run directory,ref run,status,fitness,model,ofv,success,covariance,correlation,ntheta,nomega,nsigm,condition num,r penalty,python penalty,translation messages,runtime errors
1,35,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/35,,Done,15520.541053,01111010100010101,15419.321074174182,False,True,True,6,3,1,8.672548025164271,0,101.21997864083538,,
1,31,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/31,,Done,15307.516527,00101110022010001,15221.18758524791,False,True,True,7,3,1,4.975091697453641,0,86.32894147869918,,
1,38,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/38,,Done,15186.998809,00011000112000111,14979.464699172731,False,True,True,6,4,1,11.874482675243636,0,207.53410992489364,,
1,10,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/10,,Done,29565359.459441,01110101022101112,26765477.611515474,False,False,False,8,3,1,99999999,0,2799881.847925534,,
1,05,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/05,,Done,31996564.077193,00111101022111112,26730102.11636261,False,False,False,9,3,1,99999999,0,5266461.960830041,,
1,26,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/26,,Done,114258.377486,10001010122110001,14116.993449565525,False,False,False,11,6,1,99999999,0,100141.3840369202,,
1,04,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/04,,Done,32973164.028982,01100001112101112,25266241.24166568,False,False,False,9,5,1,99999999,0,7706922.787316443,,
1,11,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/11,,Done,31051.882264,00010011110001100,14920.876633203347,False,True,True,8,5,1,16.50927347311565,0,16131.00563060477,,
1,24,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/24,,Done,15087.655612,01010101110110100,14875.596755809618,False,True,True,9,5,1,8.099977246300313,0,212.05885598470408,,
1,34,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/34,,Done,23662.372776,01110111111011000,14896.48286264388,False,True,True,9,5,1,16.745142755570523,0,8765.889913637777,,
1,03,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/03,,Done,115063.155718,01011110101011010,14913.302196402714,False,True,True,7,3,1,5.722317021727459,0,100149.85352192164,,
1,12,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/12,,Done,29704424.192585,00111000001111112,28243871.745513767,False,False,False,8,3,1,99999999,0,1460552.447071487,,
1,18,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/18,,Done,14848.472555,10001111022101011,14651.71603250897,False,False,False,11,5,1,99999999,0,196.75652239002628,,
1,39,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/39,,Done,16186199.177243,10100101120000002,13447243.891798042,False,False,False,9,6,1,99999999,0,2738955.285445405,,
1,40,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/40,,Done,15515.341581,11110100000010110,15132.856367784854,False,True,True,10,5,1,13.549706626938047,0,382.4852129938968,,
1,01,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/01,,Done,42440.424868,10000110112010011,14164.90047575803,False,True,True,10,6,1,11.296502831046164,0,28275.52439261007,,
1,23,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/23,,Done,20479365.505609,10110010020011102,18099606.493793536,False,False,False,11,5,1,99999999,0,2379759.011815028,,
1,36,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/36,,Done,14291.128601,10001111122101100,14061.875713944444,False,False,False,12,6,1,99999999,0,229.25288715672525,,
1,07,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/07,,Done,14605.637845,20011100121100111,14115.495407459386,False,False,False,12,8,1,99999999,0,490.14243761904015,,
1,29,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/29,,Done,17151.059160,11110110020111010,14705.577025803426,False,False,False,12,5,1,99999999,0,2445.4821340427834,,
1,21,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/21,,Done,28912369.986250,01011101002111112,28103980.826397236,False,False,False,9,4,1,99999999,0,808389.1598531449,,
1,16,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/16,,Done,34356.626045,10111010001001000,14898.1299490857,False,False,False,8,5,1,99999999,0,19458.49609576035,,
1,13,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/13,,Done,14609.433859,10100100120001100,14271.358644106142,False,False,False,11,6,1,99999999,0,338.07521486047443,,
1,14,/projects/qcp/QCP_MODELING/OTHER/autoPK/automatization_popPK/poppk/az_synthetic_data/ribo/8/5/n0/temp/1/14,,Done,16306539.785144,10101110011010102,15360950.803431915,False,False,False,10,6,1,99999999,0,945588.9817118872,,
